[	4.99340e-01	]	2.46900e-01	6.79487e-01	2.30062e+00				
[	4.99590e-01	]	2.47555e-01	6.79077e-01	2.30085e+00				
[	4.99830e-01	]	2.48207e-01	6.78668e-01	2.30108e+00				
[	5.00070e-01	]	2.48854e-01	6.78262e-01	2.30130e+00				
[	5.00310e-01	]	2.49498e-01	6.77859e-01	2.30151e+00				
[	5.00550e-01	]	2.50138e-01	6.77457e-01	2.30172e+00				
[	5.00780e-01	]	2.50775e-01	6.77057e-01	2.30192e+00				
[	5.01010e-01	]	2.51410e-01	6.76658e-01	2.30212e+00				
[	5.01240e-01	]	2.52042e-01	6.76261e-01	2.30230e+00				
[	5.01470e-01	]	2.52673e-01	6.75865e-01	2.30248e+00				
[	5.01690e-01	]	2.53302e-01	6.75469e-01	2.30266e+00				
[	5.01910e-01	]	2.53931e-01	6.75074e-01	2.30282e+00				
[	5.02130e-01	]	2.54560e-01	6.74678e-01	2.30298e+00				
[	5.02340e-01	]	2.55189e-01	6.74282e-01	2.30312e+00				
[	5.02550e-01	]	2.55820e-01	6.73885e-01	2.30326e+00				
[	5.02760e-01	]	2.56453e-01	6.73486e-01	2.30338e+00				
[	5.02960e-01	]	2.57090e-01	6.73085e-01	2.30349e+00				
[	5.03160e-01	]	2.57731e-01	6.72681e-01	2.30359e+00				
[	5.03360e-01	]	2.58377e-01	6.72274e-01	2.30368e+00				
[	5.03560e-01	]	2.59030e-01	6.71862e-01	2.30375e+00				
[	5.03750e-01	]	2.59692e-01	6.71444e-01	2.30380e+00				
[	5.03940e-01	]	2.60363e-01	6.71020e-01	2.30383e+00				
[	5.04120e-01	]	2.61047e-01	6.70589e-01	2.30385e+00				
[	5.04300e-01	]	2.61743e-01	6.70149e-01	2.30384e+00				
[	5.04480e-01	]	2.62456e-01	6.69698e-01	2.30381e+00				
[	5.04660e-01	]	2.63186e-01	6.69237e-01	2.30376e+00				
[	5.04830e-01	]	2.63937e-01	6.68761e-01	2.30368e+00				
[	5.04990e-01	]	2.64712e-01	6.68271e-01	2.30357e+00				
[	5.05160e-01	]	2.65513e-01	6.67764e-01	2.30342e+00				
[	5.05310e-01	]	2.66345e-01	6.67237e-01	2.30324e+00				
[	5.05470e-01	]	2.67210e-01	6.66689e-01	2.30302e+00				
[	5.05620e-01	]	2.68114e-01	6.66116e-01	2.30275e+00				
[	5.05760e-01	]	2.69061e-01	6.65515e-01	2.30244e+00				
[	5.05900e-01	]	2.70055e-01	6.64884e-01	2.30207e+00				
[	5.06040e-01	]	2.71103e-01	6.64218e-01	2.30165e+00				
[	5.06170e-01	]	2.72211e-01	6.63514e-01	2.30116e+00				
[	5.06290e-01	]	2.73385e-01	6.62768e-01	2.30060e+00				
[	5.06410e-01	]	2.74632e-01	6.61974e-01	2.29996e+00				
[	5.06520e-01	]	2.75961e-01	6.61128e-01	2.29924e+00				
[	5.06620e-01	]	2.77380e-01	6.60223e-01	2.29843e+00				
[	5.06720e-01	]	2.78899e-01	6.59255e-01	2.29751e+00				
[	5.06810e-01	]	2.80527e-01	6.58215e-01	2.29648e+00				
[	5.06890e-01	]	2.82276e-01	6.57097e-01	2.29532e+00				
[	5.06970e-01	]	2.84157e-01	6.55894e-01	2.29403e+00				
[	5.07030e-01	]	2.86184e-01	6.54595e-01	2.29258e+00				
[	5.07080e-01	]	2.88371e-01	6.53194e-01	2.29097e+00				
[	5.07120e-01	]	2.90730e-01	6.51679e-01	2.28917e+00				
[	5.07150e-01	]	2.93279e-01	6.50041e-01	2.28717e+00				
[	5.07160e-01	]	2.96032e-01	6.48268e-01	2.28495e+00				
[	5.07160e-01	]	2.99007e-01	6.46350e-01	2.28248e+00				
[	5.07140e-01	]	3.02220e-01	6.44274e-01	2.27974e+00				
[	5.07100e-01	]	3.05687e-01	6.42031e-01	2.27671e+00				
[	5.07030e-01	]	3.09422e-01	6.39609e-01	2.27334e+00				
[	5.06930e-01	]	3.13440e-01	6.36998e-01	2.26962e+00				
[	5.06790e-01	]	3.17747e-01	6.34194e-01	2.26550e+00				
[	5.06600e-01	]	3.22346e-01	6.31192e-01	2.26095e+00				
[	5.06350e-01	]	3.27224e-01	6.28000e-01	2.25592e+00				
[	5.06010e-01	]	3.32355e-01	6.24633e-01	2.25037e+00				
[	5.05550e-01	]	3.37681e-01	6.21129e-01	2.24424e+00				
[	5.04910e-01	]	3.43103e-01	6.17552e-01	2.23749e+00				
[	5.04040e-01	]	3.48454e-01	6.14012e-01	2.23006e+00				
[	5.02820e-01	]	3.53468e-01	6.10686e-01	2.22187e+00				
[	5.01070e-01	]	3.57724e-01	6.07857e-01	2.21288e+00				
[	4.98560e-01	]	3.60567e-01	6.05963e-01	2.20300e+00				
[	4.94920e-01	]	3.61004e-01	6.05672e-01	2.19218e+00				
[	4.89620e-01	]	3.57549e-01	6.07973e-01	2.18033e+00				
[	4.81980e-01	]	3.48047e-01	6.14282e-01	2.16741e+00				
[	4.71160e-01	]	3.29522e-01	6.26493e-01	2.15333e+00				
[	4.56380e-01	]	2.98159e-01	6.46897e-01	2.13809e+00				
[	4.37400e-01	]	2.49663e-01	6.77755e-01	2.12165e+00				
[	4.15390e-01	]	1.80238e-01	7.20395e-01	2.10405e+00				
[	3.93830e-01	]	8.82220e-02	7.73918e-01	2.08539e+00				
[	3.78760e-01	]	-2.42587e-02	8.34272e-01	2.06585e+00				
[	3.77360e-01	]	-1.50804e-01	8.94717e-01	2.04570e+00				
[	3.95000e-01	]	-2.82197e-01	9.48027e-01	2.02531e+00				
[	4.32680e-01	]	-4.09145e-01	9.89135e-01	2.00517e+00				
[	4.86740e-01	]	-5.24692e-01	1.01649e+00	1.98578e+00				
[	5.50840e-01	]	-6.25244e-01	1.03155e+00	1.96771e+00				
[	6.18790e-01	]	-7.10304e-01	1.03727e+00	1.95149e+00				
[	6.86440e-01	]	-7.81584e-01	1.03666e+00	1.93762e+00				
[	7.52470e-01	]	-8.42132e-01	1.03198e+00	1.92658e+00				
[	8.18400e-01	]	-8.95736e-01	1.02445e+00	1.91877e+00				
[	8.96930e-01	]	-9.52445e-01	1.01282e+00	1.91463e+00				
[	9.70120e-01	]	-1.00000e+00	1.00000e+00	1.91463e+00				
